run_id,run_support_status_v2,run_support_risk_v2,primary_segment_id_v2,primary_segment_name_v2,primary_task_v2,weak_positive_support_score_v2,breathing_suppression_score_v2,confound_reject_score_v2,support_reason_v2,needs_review_v2,review_segment_count_v2,segment_status_counts_v2
120165524_20260303-181049_unsealed_extHigh_intLow_noHeat_noChange_na,static_supported_weak_positive,medium,120165524_20260303-181049_unsealed_extHigh_intLow_noHeat_noChange_na::full,full,static_eval_only,1.0,1.0,0.75,raw static baseline stayed weak but multiview support score rose to 1.00,True,1,"{""static_supported_weak_positive"": 1}"
120165524_20260306-160246_sealed_extHigh_intLow_noHeat_noChange_na,static_watch_breathing_confirmed,watch,120165524_20260306-160246_sealed_extHigh_intLow_noHeat_noChange_na::full,full,control_challenge,0.16666666666666666,1.0,0.6,raw positive tendency is suppressed by breathing pattern score 1.00 with low support 0.17,True,1,"{""static_watch_breathing_confirmed"": 1}"
120165524_20260321-170450_unseal_extHigh_intLow_Heat_Change_20260321-1800_noHeat,static_watch_confound_confirmed,watch,120165524_20260321-170450_unseal_extHigh_intLow_Heat_Change_20260321-1800_noHeat::post_change,post_change,control_challenge,0.3333333333333333,0.8,1.0,segment matches heat-off confound pattern score 1.00 with low support 0.33,True,1,"{""short_context_only"": 1, ""static_watch_confound_confirmed"": 1}"
120165524_20260304-120007_sealed_extHigh_intLow_noHeat_Change_20260304-1639_unsealed,transition_primary_support,high,120165524_20260304-120007_sealed_extHigh_intLow_noHeat_Change_20260304-1639_unsealed::post_change,post_change,static_mainfield_primary,0.6666666666666666,1.0,0.4,run contains a mainfield seal-to-unsealed transition and should stay transition-led,True,1,"{""static_positive_reference_support"": 1, ""transition_primary_support"": 1}"
120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed,transition_primary_support,high,120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed::post_change,post_change,static_mainfield_primary,1.0,0.0,0.4,run contains a mainfield seal-to-unsealed transition and should stay transition-led,True,0,"{""static_negative_reference_support"": 1, ""static_positive_reference_support"": 1}"
120165524_20260323-213435_seal_extHigh_intLow_noHeat_Change_20260324-9000_unseal,transition_primary_support,high,120165524_20260323-213435_seal_extHigh_intLow_noHeat_Change_20260324-9000_unseal::post_change,post_change,static_mainfield_primary,0.6666666666666666,0.0,0.6,run contains a mainfield seal-to-unsealed transition and should stay transition-led,True,1,"{""static_positive_reference_support"": 1, ""transition_primary_support"": 1}"
120165519_20260309-102255_sealed_extLow_intHigh_noHeat_Change_20260310-1000_unsealed,transition_secondary_control,watch,120165519_20260309-102255_sealed_extLow_intHigh_noHeat_Change_20260310-1000_unsealed::post_change,post_change,transition_context,,,,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,True,2,"{""transition_secondary_control"": 2}"
120165519_20260313-111811_sealed_extLow_intHigh_Heat_Change_20260315-1500_unsealed,transition_secondary_control,watch,120165519_20260313-111811_sealed_extLow_intHigh_Heat_Change_20260315-1500_unsealed::post_change,post_change,transition_context,,,,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,True,2,"{""transition_secondary_control"": 2}"
120165520_20260310-170038_sealed_extEq_intEq_Heat_Change_20260313-1002_unsealed,transition_secondary_control,watch,120165520_20260310-170038_sealed_extEq_intEq_Heat_Change_20260313-1002_unsealed::post_change,post_change,transition_context,,,,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,True,2,"{""transition_secondary_control"": 2}"
120165520_20260318-090358_sealed_extEq_intEq_Heat_Change_20260319-1520_unsealed,transition_secondary_control,watch,120165520_20260318-090358_sealed_extEq_intEq_Heat_Change_20260319-1520_unsealed::post_change,post_change,transition_context,,,,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,True,2,"{""transition_secondary_control"": 2}"
